13,412,9,13,6,40,100
45,48,24,106,74,83,100
61,76,62,223,103,157,100
36,13,9,79,412,40,200
11,62,223,122,81,54,100
11,9,161,36,79,13,100
131,113,157,122,85,14,200
13,36,9,79,9,13,200
36,6,9,17,9,268,200
9,79,36,40,110,79,100
64,86,268,5,79,91,200
268,40,6,13,110,268,100
41,25,113,223,76,5,100
79,268,9,6,161,412,200
6,40,79,161,268,13,100
36,9,268,13,79,40,100
79,14,15,412,36,22,100
9,13,6,412,79,36,100
6,79,40,161,6,79,100
68,56,80,57,245,23,100
43,78,2,82,56,31,200
5,4,72,110,254,81,100
9,36,13,9,268,13,100
114,122,50,11,34,107,100
40,268,9,13,110,6,200
110,6,412,9,40,161,100
79,110,36,412,40,110,100
9,86,60,64,161,31,100
110,8,79,80,31,8,200
36,9,13,79,6,268,200
79,412,16,36,6,40,100
79,161,412,13,40,36,100
64,6,19,223,245,56,200
105,421,32,10,99,75,200
412,161,9,13,36,222,200
40,36,412,9,36,268,100
5,245,157,157,268,24,200
20,15,86,92,113,63,200
9,161,268,79,161,9,100
103,90,20,22,80,106,100
31,64,157,107,53,81,100
13,110,9,13,161,268,100
268,161,79,40,9,6,200
35,105,131,223,59,68,200
223,110,61,91,38,39,200
36,110,9,40,79,161,100
110,74,9,268,9,40,100
127,11,62,17,110,245,100
268,412,110,36,412,79,100
10,120,54,110,223,86,100
110,13,79,268,9,161,100
10,133,223,421,131,17,200
40,9,102,79,6,9,100
75,412,61,223,105,48,200
9,13,412,9,110,268,200
161,9,40,268,79,9,100
161,110,6,79,412,161,100
80,86,43,76,90,14,200
117,80,110,90,17,80,200
268,13,36,40,6,79,200
11,122,55,150,268,57,100
110,412,79,412,161,110,100
134,9,57,40,412,79,100
9,40,161,9,6,79,200
6,79,268,268,6,110,200
157,11,67,6,22,9,100
40,110,9,161,40,412,100
40,161,79,9,40,268,200
67,41,245,245,157,11,200
245,21,28,18,24,16,200
13,40,161,40,412,6,100
76,77,150,245,114,98,200
223,10,11,57,78,245,200
22,64,113,8,79,223,100
110,9,13,36,110,412,200
6,13,9,412,36,13,100
412,6,268,40,36,161,100
86,21,110,120,111,17,200
268,36,412,9,412,13,100
36,40,13,268,9,40,100
245,77,68,266,82,157,200
268,9,36,223,36,268,200
157,57,429,105,10,24,100
13,412,36,40,268,79,200
17,421,62,79,67,432,200
25,64,81,63,19,29,200
266,122,31,26,11,223,200
110,161,40,161,9,412,100
412,119,22,9,40,13,100
412,40,110,79,13,40,100
412,268,36,36,6,79,200
41,81,79,62,54,157,200
268,9,6,79,268,40,100
9,13,40,13,6,40,200
110,42,10,62,157,76,200
110,13,9,268,36,6,100
79,114,28,62,131,18,200
13,79,36,36,110,79,100
9,412,110,268,13,110,200
40,412,36,79,6,161,200
13,40,161,13,110,40,200
7,122,5,20,223,64,100
98,5,10,98,13,19,100
117,44,133,157,31,17,200
13,106,8,111,86,43,200
19,67,412,76,57,121,100
36,110,9,13,79,40,100
79,110,83,8,53,12,100
14,114,161,76,157,64,100
412,6,36,36,9,412,100
9,13,40,110,268,161,200
62,16,21,48,40,110,100
102,81,86,50,42,102,100
11,105,27,81,157,254,100
102,4,31,26,103,77,200
412,161,40,40,268,13,100
103,223,41,57,11,56,200
40,13,9,6,40,110,200
110,412,40,412,23,84,200
157,61,54,36,63,67,200
122,40,110,9,13,6,100
110,36,9,268,40,79,100
412,36,161,110,6,9,100
157,421,245,157,19,268,100
9,13,36,412,161,36,200
6,412,13,79,9,154,200
157,13,122,79,6,40,100
13,9,79,36,13,79,200
61,8,24,122,35,43,200
266,13,43,25,67,2,200
245,98,119,223,48,28,100
9,36,40,6,13,9,100
1,9,412,80,48,74,200
9,50,21,121,81,76,100
111,13,150,10,86,79,200
110,13,9,79,6,40,100
432,102,85,62,76,115,100
10,24,412,223,19,30,100
30,429,17,110,105,62,200
6,36,79,412,13,79,200
77,8,86,79,81,11,100
79,22,268,412,268,79,100
64,35,1,157,54,62,200
13,40,161,412,6,79,100
9,36,40,13,9,6,200
77,76,245,18,72,127,200
13,6,79,79,40,36,200
9,40,79,36,268,161,200
35,68,64,131,50,107,200
13,40,161,40,161,110,100
25,10,58,58,28,90,200
1,11,13,9,245,86,200
36,268,161,36,6,9,200
37,11,131,81,35,5,200
110,6,40,13,9,79,100
